word,intent
กินเลี้ยง,food
ฉลาด,
ลืม,
ขอร้อง,
อาจจะ,
เช้า,time
นั่น,stopword
ธุระ,
ตัวแทน,person
คำถาม,
เพ็ก,noword
camera,product
อ.,person
เหว,
IP-PBX,product
คับ,stopword
ไง,greeting
บ.,place
ประยุทธ์,person
ครับ,stopword
ยิง,
ถ้า,stopword
ครำ,
แน่จริง,
ตรา,
เขิน,emotion
ไหนล่ะ,question
สว,noword
ทางช้างเผือก,
หน่อ,
บล็อค,
ที่ไหน,question
ตับ,
เย่,stopword
ดาวน์,emotion
มา,
บง,noword
ตั้งอยู่,
อ่านหนังสือ,
ผลิต,
ครู,person
เกี่ยว,stopword
ถถถถถถ,noword
สุดท้าย,stopword
device,product
เหี้ย,
ข้างหลัง,
มาก,
851589585,num
อ้วน,
นพ,person
เรียน,
สวัสดี,greeting
โอ้,
ออ,
ภูเขา,place
พ,noword
อร่อย,food
พิ,noword
เอาตัวรอด,
มัย,noword
ตู้เย็น,product
ทำตาม,
เสียเวลา,
รุ่นพี่,person
ใหม่,
ไอ,
close,
large,
บน,
เอา,stopword
หา,stopword
ไม่ต้อง,deny
พูด,
วิ,time
นี่,stopword
ไร,question
มาจาก,stopword
เดือน,month
ทุก,stopword
เมา,drink
คลอง,place
ล้ม,
เติม,
มุ้ง,
โมง,time
คืน,
ให,noword
โฟ,noword
?,question
บิน,
ครบ,stopword
เว่ยยย,noword
อ้า,noword
นึก,
หย้า,noword
-,noword
บ้าง,
หี,
night,
ร,noword
ๆๆๆๆๆๆ,noword
เดียว,
สบายใจ,
ไม่เอา,deny
พักผ่อน,
อุดม,
จบ,
กา,noword
เช่า,
^^,noword
เอ้าาาา,stopword
ๆๆๆๆ,noword
หุ่นยนต์,product
more,stopword
เดะ,noword
หญิง,person
หวะ,noword
ราคา,
ไลฟ์,
ยยยยยยยยยยยย,noword
ยา,
jfjfhmdvdhfndgxcmfjxknxnxbmdjvfnnrkdknxhxmfhjdjdmdjddfbdbjdkdjxnfkdgjdjdkdhmdkfjdmkdjdkkfkfjfbnf,noword
ย,noword
แถว,
พ่อแม่,person
อีก,stopword
ธันวาคม,month
คุ้ย,
เหรอ,stopword
เอาเรื่อง,stopword
ตรง,stopword
เนี้ย,stopword
กินข้าว,food
คุณภาพ,
นั้น,stopword
ต่อไป,stopword
กำลัง,stopword
D,noword
ทิ้ง,
ต่า,noword
bye,bye
ไทม์,time
ช็อต,
ขี่ม้า,
ลาก่อน,bye
เหนียว,
รี้,noword
4.3,num
คิดถึง,
สวย,
ต๊าย,stopword
กาว,
อารมณ์เสีย,emotion
เร็ว,
ปลอบใจ,
เปลี่ยน,
จาก,stopword
แฟน,person
มะ,noword
what,question
เก่า,
สบายดี,
น่ะ,stopword
แน่,noword
2,noword
อ่าว,stopword
งง,noword
แรก,
อ่,noword
เก้ต,noword
อย่า,deny
ิื,noword
ร.,noword
*,noword
ตาม,stopword
ช่วงนี้,time
ๆๆๆ,noword
ทีหลัง,
เชี้ย,
หนาว,
วว,noword
ไกลๆ,
บ่,deny
เอ้อ,stopword
เเต่,stopword
ใด,stopword
group,
ปลา,animal
นั้ง,noword
ยัน,stopword
ก็ได้,stopword
ใจเย็น,emotion
แมว,animal
ไม่ทราบ,
ขอให้,stopword
เจ้านาย,person
hi,greeting
หยิ่ง,
ไว้,stopword
หลอ,stopword
อ้าว,stopword
ที่ทำงาน,
น่าสนใจ,
โย่ว,greeting
เด้,noword
เอ๋ๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,stopword
ขอบคุณ,
ม่ะ,noword
กว่่,noword
แฮะ,stopword
เลื่อนขั้น,
ป่ะ,stopword
เฟ้ย,stopword
หล่อ,
ข้อความ,
เสร็จ,
ม้า,animal
งวด,
Cloud,product
นัด,
หมา,animal
T,noword
ญ,person
อย่างไรบ้าง,
จุ,noword
วันนี้,date
บัญชี,
ม้ะ,noword
รัฐบุรุษ,person
